QRMS LINE#,,Reported Date,Source,Category,Issue Description,Status,Containment Action,Corrective Action,Sub-Category,Product,Priority,Severity,Reported by,Assigned To,Target Closure Date,Target Release Date,Resolution Details,Ageing (Days),SLA Breach?,Remarks,VIN,Offline Comm./Internal Notes
15,NA,16 July 2026,FOR,Missing Data,Data Unavailable : FOR | Customer | FF | ME3PA1AAET2000058| Data unavailable| GRID,Open,Pending,Pending,Query/Clarification,CBP,,,GRID,Basanth,TBD,,"ME3PA1AAET2000029 - Battery cutoff due to speed above 100KM, and this caused SOM reboot and the data missed due to this


ME3PA1AAET2000058 - The vehicle entered sleep mode (S2R state) during the period from 15/07/2026 17:44:00 to 15/07/2026 18:04:00",46,,"Actions :

1) Unable to find related FOR - Reach out GRID to confirm the FOR/QRMS entry
2) Notify PO to update containment, corrective actions updated in QRMS
3) Re-assgn FOR to relavent teams for further action.
","ME3PA1AAET2000058

ME3PA1AAET2000029",
16,NA,16 July 2026,FOR,Missing Data,Data Missing :  ET013 - 1km data missing on 28 June between 11.50am to 1.35pm,Open,Pending,Pending,Query/Clarification,CBP,,,GRID,Basanth,TBD,,TBD,46,,Awaiting Updates from PO,ME3PA1AAET2000013  ,
17,NA,16 July 2026,FOR,Missing Data,DT106 -- data missing from 2nd July 12.46 pm to 1.02pm,Open,Pending,Pending,Query/Clarification,CBP,,,GRID,Basanth,TBD,,TBD,46,,Awaiting Updates from PO,ME3PA1AADT2000106,
18,NA,25 July 2026,FOR,Other Technical,FOR | Customer| FF | ME3PA1AAET2000078 | 10kms |Voltage sensor failure 23 & 24 multiple times,Open,Pending,Pending,Query/Clarification,RE.OS,,,Field,Srini,,,,37,,Awaiting Updates from PO,ME3PA1AAET2000078,
19,NA,27 July 2026,FOR,DTC,"The DTC P10209 – BMS Under Voltage Error was triggered on 26-Jul-2026 at 06:44:47 IST. After this event, P1021C – BMS Low Battery Warning was triggered 5 times. At the time of the fault, the battery SOC was 19%, SOH was 100%, and the battery voltage was 96.33 V. The fault occurred while the vehicle was in Awake Mode. The low battery voltage at a low SOC may have caused the under-voltage error and subsequent low battery warnings.",Open,,,,CBP,,,GRID,,,,,35,,,ME3PA1AAET2000054,
20,NA,27 July 2026,FOR,Other Technical,"Dealer received three vehicles, in which this vehicle alone not charging in the socket available at the dealership.
On inpspection observed this vehicle alone was not charging because of the insufficient grounding at building & to the OBC unit in the vehicle.
Team provided separate earthing to the OBC and found the vehicle was charging  without triggering the IMD error.
Brought the vehicle to BTM Layout and found vehice is charging good, but still there was current leak observed in charging condition.
Along with PD the vehicle was inspected and found the building earth was not effective. Based on the validation, the dealership's earthing connection was rectified. After which the same vehicle charged without the IMD error.
A similar issue was reported in three other customer bikes, for which the FOR has already been shared. 
ME3PA1AAET2000051
ME3PA1AADT2000035
ME3PA1AAET2000013

If the customer uses a similar socket elsewhere, the IMD error may trigger again under similar vehicle conditions. So necessary action at the vehicle level to be done.                     

Already this issue was analysed and necessary inputs were taken by the CFT team. This FOR registers the concern in the QRMS to track the action implementation for the OBC grounding.",Open,,,,,,,GRID,,,,,35,,,ME3PA1AADT2000050,
21,NA,27 July 2026,FOR,Safe Mode,Safe mode appearing in cluster multiple times,,,,,RE.OS,,,,,,,,35,,"The safe mode issue is majorly due to 
1. SOM software issue
2. FAKRA cable loose connection / damaged

As we are geeting the software update by end of this month, we can not try anything on the software side on this vehicle.

I will suggest to try by changing the FAKRA cable and and see if the issue get resolved. In case issue gets resolved, the existing FAKRA cable we will send to supplier for testing to cbeck if there is any signal loss is happening in the cable.",ME3PA1AAET2000081,
23,102,26 July 2026,QRMS,DTC,P10209 - BMS Under Voltage Error,InProgress,Pending,Pending,A,CBP,P3,Sev3,GRID,Basanth,27-Aug,July Sprint,,36,,,,
24,NA,19 July 2026,GRID-NonDTC,DTC,"Received 312 tickets from 6 vehicles and seems ET13, ET42 has duplicate tickets. Pls addres
",,,,,CBP,,,,,,,,43,,,,
26,,,GRID-NonDTC,,"ME3PA1AAET2000099

1) odo 0 - Seperate email Thread
2) SOC% 0 - Seperate email Thread",,,,,CBP,,,,,,,,,,,,
27,,,GRID-NonDTC,,"GPS fix error in Grafana - Multiple Vehicle with GPS Fix 0

ET94, 
ET81,
ET26,
ET54,
ET29,
DT35,
ET18,
ET97,
ET32,
ET41,
ET102

-- Find a way to track this better .. Along with NCV",,,,,CBP,,,,,,,,,,,,
29,108,5 August 2026,QRMS,DTC,IMD Error available at BMS Fault code - Grafana but ticket not received to GRID,Closed,Complete,Complete,K,CBP,P2,Sev3,GRID,Basanth,,July Sprint,"Authorized vehciles will automatically be moved to DTC trigger filter bucket for DTC ME ticket creation. 

One off case - data refresh done for the VINs missed out.",26,,,,
31,,7 August 2026,FOR,DTC,DTC P10336 - MCU OnAxis failure - ME3PA1AADT2000013,Open,Pending,Pending,A,CBP,P3,Sev3,GRID,Basanth,,,,,,,,
32,,7 August 2026,FOR,DTC,P10323 - MCU Motor RPM Too High DTC Triggered and Auto Resolved,Open,Pending,Pending,K,CBP,P3,Sev3,GRID,Basanth,,,,,,,,
33,114,10 August 2026,QRMS,Wifi Disconnect,"Wifi is not getting connected, Navigation is not working",Closed,Pending,Pending,Bug,RE.OS,P3,Sev3,Field,Madhav,,July Sprint,"Customer was using a mobile that runs Android 12. 
Owner's manual will be updated ""For best experience use mobiles that runs on latest OS version""",21,,,,
34,46,21 June 2026,QRMS,Incorrect location - GPS fix zero,Incorrect location - GPS fix zero,InProgress,Complete,Pending,Bug,RE.OS,P2,Sev2,GRID,Srini,REL 1.0.4,July Sprint,,71,,,,
35,117,14-Aug-2026,QRMS,APP,Customer App not connecting with cloud                                                                                        ,Closed,Complete,Complete,Bug,FFAPP,P3,Sev3,GRID,Rakendu,20-Aug,July Sprint,"The SOM BLE MacID was mandatory at firebase write, whereas, it was not mandatory at supplier feed.

1. To contain the issue, mandatory check is removed in CRM service.
2. Automate the supplier feed with all the required parameters so that this won't fail.",17,,Prod deployment completed on 21 Aug 2026,,
36,118,17-Aug-2026,QRMS,OTP Not Received,Customer is not receving the otp to change the passcode,Under Monitoring,Pending,Pending,Query/Clarification,RE.OS,P3,Sev3,GRID,Srini,,July Sprint,"There is no concrete evidence, but the hypothesis of OTP not triggered during the vehicle is in NCV was tested after the communication was established and the issue was auto-resolved for the customers.

21/08: Grid/QRMS have asked for enhancements to user journey for retry/graceful navigation to regenerate OTP. POs to get back with further updates",14,,,,
37,105,1-Jul-2026,QRMS,Missing Data,Data unavailable,InProgress,Complete,In Progress,Bug,CBP,P3,Sev3,GRID,Basanth,REL 1.0.4,July Sprint,,61,,,,
